 "Time [d]","dt_flow [d]","dt_tran [d]","Global Water Mass in Liquid Phas [kg]","Global Vaq [mol]","Global Vim [mol]","west Water Mass [kg]","west Water Mass [kg/d]","west Vaq [mol]","west Vaq [mol/d]","east Water Mass [kg]","east Water Mass [kg/d]","east Vaq [mol]","east Vaq [mol/d]","injection_well Water Mass [kg]","injection_well Water Mass [kg/d]","injection_well Vaq [mol]","injection_well Vaq [mol/d]","extraction_well Water Mass [kg]","extraction_well Water Mass [kg/d]","extraction_well Vaq [mol]","extraction_well Vaq [mol/d]","Region all Water Mass [kg]","Region all Total Mass [kg]"
2.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86315031E-09,1.46937690E-11,-2.14851369E+07,-7.81282346E+06,-5.39489593E-08,-2.18905074E-08,2.15445343E+07,7.83441910E+06,2.15479524E-43,7.83566217E-44,6.59868058E+02,2.39952016E+02,6.60000000E-08,2.40000000E-08,-6.00483617E+04,-2.18357675E+04,-6.00483629E-46,-2.18357675E-46,8.15841563E+05,5.35937500E+07
2.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86315031E-09,1.46937690E-11,-2.14851369E+07,-7.81282346E+06,-5.39489593E-08,-2.18905074E-08,2.15445343E+07,7.83441910E+06,2.15479524E-43,7.83566217E-44,6.59868058E+02,2.39952016E+02,6.60000000E-08,2.40000000E-08,-6.00483617E+04,-2.18357675E+04,-6.00483629E-46,-2.18357675E-46,8.15841563E+05,5.35937500E+07
3.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86388439E-09,1.55849404E-11,-2.34383441E+07,-7.81283144E+06,-5.94220254E-08,-2.18929076E-08,2.35031405E+07,7.83442708E+06,2.35068693E-43,7.83567017E-44,7.19856061E+02,2.39952015E+02,7.20000000E-08,2.40000000E-08,-6.55073036E+04,-2.18357674E+04,-6.55073047E-46,-2.18357674E-46,8.15841560E+05,5.35937500E+07
2.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86315031E-09,1.46937690E-11,-2.14851369E+07,-7.81282346E+06,-5.39489593E-08,-2.18905074E-08,2.15445343E+07,7.83441910E+06,2.15479524E-43,7.83566217E-44,6.59868058E+02,2.39952016E+02,6.60000000E-08,2.40000000E-08,-6.00483617E+04,-2.18357675E+04,-6.00483629E-46,-2.18357675E-46,8.15841563E+05,5.35937500E+07
3.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86388439E-09,1.55849404E-11,-2.34383441E+07,-7.81283144E+06,-5.94220254E-08,-2.18929076E-08,2.35031405E+07,7.83442708E+06,2.35068693E-43,7.83567017E-44,7.19856061E+02,2.39952015E+02,7.20000000E-08,2.40000000E-08,-6.55073036E+04,-2.18357674E+04,-6.55073047E-46,-2.18357674E-46,8.15841560E+05,5.35937500E+07
3.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86422599E-09,1.63991619E-11,-2.53915533E+07,-7.81283942E+06,-6.48954621E-08,-2.18940560E-08,2.54617486E+07,7.83443506E+06,2.54657882E-43,7.83567818E-44,7.79844065E+02,2.39952014E+02,7.80000000E-08,2.40000000E-08,-7.09662455E+04,-2.18357674E+04,-7.09662466E-46,-2.18357674E-46,8.15841558E+05,5.35937500E+07
2.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86315031E-09,1.46937690E-11,-2.14851369E+07,-7.81282346E+06,-5.39489593E-08,-2.18905074E-08,2.15445343E+07,7.83441910E+06,2.15479524E-43,7.83566217E-44,6.59868058E+02,2.39952016E+02,6.60000000E-08,2.40000000E-08,-6.00483617E+04,-2.18357675E+04,-6.00483629E-46,-2.18357675E-46,8.15841563E+05,5.35937500E+07
3.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86388439E-09,1.55849404E-11,-2.34383441E+07,-7.81283144E+06,-5.94220254E-08,-2.18929076E-08,2.35031405E+07,7.83442708E+06,2.35068693E-43,7.83567017E-44,7.19856061E+02,2.39952015E+02,7.20000000E-08,2.40000000E-08,-6.55073036E+04,-2.18357674E+04,-6.55073047E-46,-2.18357674E-46,8.15841560E+05,5.35937500E+07
3.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86422599E-09,1.63991619E-11,-2.53915533E+07,-7.81283942E+06,-6.48954621E-08,-2.18940560E-08,2.54617486E+07,7.83443506E+06,2.54657882E-43,7.83567818E-44,7.79844065E+02,2.39952014E+02,7.80000000E-08,2.40000000E-08,-7.09662455E+04,-2.18357674E+04,-7.09662466E-46,-2.18357674E-46,8.15841558E+05,5.35937500E+07
3.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976630E+07,6.86438352E-09,1.71430147E-11,-2.73447646E+07,-7.81284741E+06,-7.03690784E-08,-2.18946172E-08,2.74203587E+07,7.83444304E+06,2.74247091E-43,7.83568618E-44,8.39832068E+02,2.39952013E+02,8.40000000E-08,2.40000000E-08,-7.64251873E+04,-2.18357673E+04,-7.64251884E-46,-2.18357673E-46,8.15841555E+05,5.35937500E+07
3.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976631E+07,6.86388439E-09,1.55849404E-11,-2.34383441E+07,-7.81283144E+06,-5.94220254E-08,-2.18929076E-08,2.35031405E+07,7.83442708E+06,2.35068693E-43,7.83567017E-44,7.19856061E+02,2.39952015E+02,7.20000000E-08,2.40000000E-08,-6.55073036E+04,-2.18357674E+04,-6.55073047E-46,-2.18357674E-46,8.15841560E+05,5.35937500E+07
