<Name>,Layer1Thick,<porosity1>,<permX1>,<permY1>,AnisotropyRatio1   (X/Z),<permZ1>,Layer2Thick,<porosity2>,<permX2>,<permY2>,anisotropyRatio2   (X/Z),<permZ2>,<DomainDepth>,<zInBetweenLayers>,<AquiferLen>,<boundaryWaterTable>,<desiredTimeStep>,dX,<CellRatioX>,<nX>,dY,<CellRatioY>,<nY>,dZ,<CellRatioZ>,<nZ>,DistanceTo Contamination,<setbackDist>,Diameter LeakingPipe,<setbackPlusLeak>,<leakingYNorth>,<leakingYSouth>,LeakingFlow,<rateLeaking>,<rateExtraction>,<wellZTop>,<wellZBottom>,<wellXY>,wellDiameter,extractionFlux,<observationAtWell>,<obsTimeStep>,<warmUpTime>,Concentration,<initialConcentration>,<katt>,<kdet>,<decayAq>,<decayIm>
SandOnGravel_Domestic_038,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.19291222617176E-06,0
SandOnGravel_Domestic_039,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.53962987057059E-06,0
SandOnGravel_Domestic_040,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.54745100151307E-06,0
SandOnGravel_Domestic_041,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.65665251853452E-06,0
SandOnGravel_Domestic_042,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.82597380760424E-06,0
SandOnGravel_Domestic_043,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.24199603844008E-06,0
SandOnGravel_Domestic_044,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.61501675874895E-06,0
SandOnGravel_Domestic_045,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.3255797191304E-06,0
SandOnGravel_Domestic_046,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.54895157461365E-06,0
SandOnGravel_Domestic_047,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.23294170427384E-06,0
SandOnGravel_Domestic_048,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.32997776582797E-06,0
SandOnGravel_Domestic_049,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,8.173791741503E-07,0
SandOnGravel_Domestic_050,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.77690515638162E-06,0
SandOnGravel_Domestic_051,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.73430682542723E-06,0
SandOnGravel_Domestic_052,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.7040165126278E-06,0
SandOnGravel_Domestic_053,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.71403501012373E-06,0
SandOnGravel_Domestic_054,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.64864781258895E-06,0
SandOnGravel_Domestic_055,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.33555013506671E-06,0
SandOnGravel_Domestic_056,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.54102219540053E-06,0
SandOnGravel_Domestic_057,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.42518125354868E-06,0
SandOnGravel_Domestic_058,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.71111062159079E-06,0
SandOnGravel_Domestic_059,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.07949789884204E-06,0
SandOnGravel_Domestic_060,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.62553199748532E-06,0
SandOnGravel_Domestic_061,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.35322629250869E-06,0
SandOnGravel_Domestic_062,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,2.02095443541989E-06,0
