"Time [h]","dt_tran [h]","Global Vaq [mol]","Global Vim [mol]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Vaq [mol]","Top Vaq [mol/h]"
1.04444444E+01,2.77777778E-02,2.79538321E-02,7.00148552E-01,1.77276990E+00,-4.73076201E-04,-6.26706237E-01,-1.43963362E-02
1.05555556E+01,2.77777778E-02,2.77623005E-02,6.95683064E-01,1.77271760E+00,-4.69340194E-04,-6.28298859E-01,-1.42967598E-02
1.06666667E+01,2.77777778E-02,2.75731846E-02,6.91245562E-01,1.77266571E+00,-4.65633692E-04,-6.29880805E-01,-1.42024997E-02
1.07777778E+01,2.77777778E-02,2.73860320E-02,6.86835906E-01,1.77261423E+00,-4.61956462E-04,-6.31452534E-01,-1.41117608E-02
1.08888889E+01,2.77777778E-02,2.72005580E-02,6.82453945E-01,1.77256315E+00,-4.58308274E-04,-6.33014354E-01,-1.40233979E-02
1.10000000E+01,2.77777778E-02,2.70165840E-02,6.78099520E-01,1.77251248E+00,-4.54688898E-04,-6.34566476E-01,-1.39366886E-02
1.11111111E+01,2.77777778E-02,2.68339976E-02,6.73772471E-01,1.77246221E+00,-4.51098106E-04,-6.36109050E-01,-1.38511809E-02
1.12222222E+01,2.77777778E-02,2.66527276E-02,6.69472631E-01,1.77241233E+00,-4.47535673E-04,-6.37642189E-01,-1.37665948E-02
1.13333333E+01,2.77777778E-02,2.64727277E-02,6.65199835E-01,1.77236285E+00,-4.44001374E-04,-6.39165983E-01,-1.36827579E-02
1.14444444E+01,2.77777778E-02,2.62939671E-02,6.60953919E-01,1.77231376E+00,-4.40494988E-04,-6.40680506E-01,-1.35995642E-02
1.15555556E+01,2.77777778E-02,2.61164245E-02,6.56734716E-01,1.77226506E+00,-4.37016294E-04,-6.42185827E-01,-1.35169489E-02
1.16666667E+01,2.77777778E-02,2.59400838E-02,6.52542063E-01,1.77221674E+00,-4.33565073E-04,-6.43682006E-01,-1.34348722E-02
1.17777778E+01,2.77777778E-02,2.57649325E-02,6.48375795E-01,1.77216881E+00,-4.30141109E-04,-6.45169101E-01,-1.33533094E-02
1.18888889E+01,2.77777778E-02,2.55909600E-02,6.44235749E-01,1.77212125E+00,-4.26744186E-04,-6.46647168E-01,-1.32722447E-02
1.20000000E+01,2.77777778E-02,2.54181569E-02,6.40121763E-01,1.77207407E+00,-4.23374090E-04,-6.48116262E-01,-1.31916678E-02
1.21111111E+01,2.77777778E-02,2.52465144E-02,6.36033677E-01,1.77202726E+00,-4.20030610E-04,-6.49576437E-01,-1.31115716E-02
1.22222222E+01,2.77777778E-02,2.50760245E-02,6.31971330E-01,1.77198082E+00,-4.16713535E-04,-6.51027745E-01,-1.30319509E-02
1.23333333E+01,2.77777778E-02,2.49066790E-02,6.27934562E-01,1.77193475E+00,-4.13422657E-04,-6.52470239E-01,-1.29528014E-02
1.24444444E+01,2.77777778E-02,2.47384703E-02,6.23923216E-01,1.77188904E+00,-4.10157769E-04,-6.53903971E-01,-1.28741197E-02
1.25555556E+01,2.77777778E-02,2.45713906E-02,6.19937135E-01,1.77184369E+00,-4.06918666E-04,-6.55328993E-01,-1.27959027E-02
1.26666667E+01,2.77777778E-02,2.44054323E-02,6.15976161E-01,1.77179870E+00,-4.03705143E-04,-6.56745356E-01,-1.27181474E-02
1.27777778E+01,2.77777778E-02,2.42405880E-02,6.12040140E-01,1.77175407E+00,-4.00517000E-04,-6.58153112E-01,-1.26408511E-02
1.28888889E+01,2.77777778E-02,2.40768502E-02,6.08128917E-01,1.77170978E+00,-3.97354035E-04,-6.59552311E-01,-1.25640111E-02
1.30000000E+01,2.77777778E-02,2.39142115E-02,6.04242338E-01,1.77166585E+00,-3.94216050E-04,-6.60943004E-01,-1.24876248E-02
1.31111111E+01,2.77777778E-02,2.37526647E-02,6.00380251E-01,1.77162227E+00,-3.91102848E-04,-6.62325240E-01,-1.24116895E-02
1.32222222E+01,2.77777778E-02,2.35922023E-02,5.96542504E-01,1.77157903E+00,-3.88014232E-04,-6.63699071E-01,-1.23362028E-02
1.33333333E+01,2.77777778E-02,2.34328173E-02,5.92728947E-01,1.77153613E+00,-3.84950008E-04,-6.65064545E-01,-1.22611619E-02
1.34444444E+01,2.77777778E-02,2.32745023E-02,5.88939429E-01,1.77149356E+00,-3.81909985E-04,-6.66421712E-01,-1.21865646E-02
1.35555556E+01,2.77777778E-02,2.31172504E-02,5.85173802E-01,1.77145134E+00,-3.78893970E-04,-6.67770621E-01,-1.21124081E-02
1.36666667E+01,2.77777778E-02,2.29610543E-02,5.81431917E-01,1.77140945E+00,-3.75901774E-04,-6.69111321E-01,-1.20386900E-02
1.37777778E+01,2.77777778E-02,2.28059070E-02,5.77713628E-01,1.77136789E+00,-3.72933209E-04,-6.70443861E-01,-1.19654078E-02
1.38888889E+01,2.77777778E-02,2.26518016E-02,5.74018787E-01,1.77132666E+00,-3.69988089E-04,-6.71768288E-01,-1.18925590E-02
1.40000000E+01,2.77777778E-02,2.24987311E-02,5.70347251E-01,1.77128575E+00,-3.67066227E-04,-6.73084651E-01,-1.18201412E-02
1.41111111E+01,2.77777778E-02,2.23466886E-02,5.66698874E-01,1.77124517E+00,-3.64167442E-04,-6.74392997E-01,-1.17481520E-02
1.42222222E+01,2.77777778E-02,2.21956673E-02,5.63073513E-01,1.77120490E+00,-3.61291549E-04,-6.75693373E-01,-1.16765888E-02
1.43333333E+01,2.77777778E-02,2.20456603E-02,5.59471024E-01,1.77116496E+00,-3.58438369E-04,-6.76985828E-01,-1.16054492E-02
1.44444444E+01,2.77777778E-02,2.18966609E-02,5.55891267E-01,1.77112533E+00,-3.55607722E-04,-6.78270408E-01,-1.15347310E-02
